@Username,Tweet,Lokasi
detikcom,"Waketum PKB Jazilul berharap Cak Imin jadi capres dan berpasangan dengan Prabowo atau Anies. Namun, Cak Imin belum terpikir berpasangan dengan Anies.  https://t.co/atwIdTqnSm","Jakarta, Indonesia"
rahcmatdelima,"Cak Imin soal Capres-cawapres 2024: Semua Stuck Nunggu Kartu Lawan
@cakimiNOW
@halimiskandarnu
@EmHasanuddin
@Jazilul_Fawaid
@zainul_munas
@malik_haramain
@SukoyoKasekpro
@Brigade01Arwan1
@hasanroviqi
@Mursyidan10
@Yusrikasem1
@zakaria_hmy
@TaMaYF_
 https://t.co/fG5o2inJ1U",
suaradotcom,"Berharap Cak Imin Maju Capres 2024, PKB: Wakilnya Pak Prabowo Boleh, Pak Anies Juga Boleh  https://t.co/Y3hvPliPB0",Jakarta Capital Region
billy4riez,Cak Imin soal Capres-cawapres 2024: Semua Stuck Nunggu Kartu Lawan https://t.co/KFfYi4lm0B,Jakarta
GoNewsdotco,"Didaulat jadi Komandan Laskar Ijo Jateng, Cak Imin Beri Tugas Yusuf Chudori Maju Pilkada 2024 https://t.co/QA7xsh0607",Pekanbaru
Deariy,"Dengan Bismillah :
Cak Imin sebut begini, tapi kalau melihat Temuan PPATK, maka Proporsional Tertutup yang terbaik, maaf saja, karena ada ""Kegagalan"" yang disengaja atau tidak, dalam pengendalian hal yg ""Illegal"" tersebut.
cc Bapak Presiden @jokowi https://t.co/mETunFhzst",FB dan IG @deariy
BeritaCenter,"Khawatir Putusan MK Pemilu Tertutup, Cak Imin : Jika Begitu Negeri Ini Sedang Dangerous! https://t.co/C2C5IJxZ9x","DKI Jakarta, Indonesia"
IsmailMangngaga,"Peringati Isra Miraj, Cak Imin Doakan Umat Islam Kuat Menata Bangsa 
#gusmuhaimin

https://t.co/ncnyi83lNY","Sulawesi Selatan, Indonesia"
WartaEkonomi,"Elitenya Sebut Cawapres PKB Boleh Prabowo atau Anies, Respons Cak Imin di Luar Dugaan: Pokoknya... https://t.co/gmkatU7OPT","Jakarta, Indonesia"
Bisniscom,Cak Imin memilih menunggu manuver calon lawan politiknya calon presiden capres dan cawapres untuk Pilpres 2024. https://t.co/SLDqrNtYXI,"Jakarta, Indonesia"
IDNTimes,"Disebut Duet dengan Anies di Pilpres 2024, Cak Imin: Belum Kepikiran https://t.co/SniWlKniEg",
ThahaMuges,Cak Imin lebih baik https://t.co/Mhu5RpVq3n,
abatanews,"Cak Imin: 24 Februari MK Putuskan Sistem Pemilu 2024, Bahaya Bila Tertutup https://t.co/fFWeXf8DZc",
tvOneNews,Cak Imin: Sistem Pemilu Tertutup Bikin Politik Stagnan https://t.co/Y248tse1Vp,Pulo Gadung
Konfrontasi_co,Cak Imin Yakin MK Tolak Proporsional Tertutup https://t.co/h1ip1YELtA,Jakarta
wawwwank,"Pemilu Proporsional Tertutup, Cak Imin PKB: Negara Dalam Bahaya https://t.co/bTMHmSMcGp","Bali, Indonesia"
merdekadotcom,Cak Imin Harap MK Tak Ubah Sistem Pemilu Jadi Coblos Partai https://t.co/7GNz7AKlhi,Indonesia
merdekadotcom,Respons Cak Imin Diduetkan dengan Anies: Belum Ada Terpikir Sama Sekali https://t.co/T6jSorFbYM,Indonesia
most1058,Ketua Umum PKB Muhaimin Iskandar alias Cak Imin menyebut Indonesia dalam keadaan bahaya apabila menerapkan sistem proporsional tertutup atau yang dikenal dengan sistem pemilu mencoblos partai. #MostUpdate1058 https://t.co/4KfC4IJru9,JAKARTA
